Ref,Val,Package,PosX,PosY,Rot,Side
"J7","Conn_01x05","Harwin_M20-89005xx_1x05_P2.54mm_Horizontal",-149.000000,8.000000,-90.000000,bottom
"J11","Conn_01x03","Harwin_M20-89003xx_1x03_P2.54mm_Horizontal",-164.000000,8.000000,-90.000000,bottom
"SW1","SW_SPST","Harwin_M20-89003xx_1x03_P2.54mm_Horizontal",-134.000000,8.000000,-90.000000,bottom
"C1","1u","C_0603_1608Metric",158.500000,64.000000,90.000000,top
"C2","1u","C_0603_1608Metric",170.000000,63.000000,0.000000,top
"C3","10u","C_0603_1608Metric",138.250000,58.250000,-90.000000,top
"C4","10u","C_0603_1608Metric",148.250000,28.450000,90.000000,top
"C5","10u","C_0603_1608Metric",149.750000,28.450000,90.000000,top
"C6","100n","C_0603_1608Metric",136.750000,58.250000,-90.000000,top
"C7","1n","C_0603_1608Metric",136.750000,61.250000,90.000000,top
"C8","100n","C_0603_1608Metric",127.000000,60.000000,-90.000000,top
"C9","10n","C_0603_1608Metric",134.600000,55.650000,90.000000,top
"C10","10u","C_0603_1608Metric",153.750000,26.000000,0.000000,top
"C11","10u","C_0603_1608Metric",144.250000,26.000000,180.000000,top
"C12","1000p","C_0603_1608Metric",132.350000,62.650000,0.000000,top
"C13","4.7p","C_0603_1608Metric",131.600000,64.900000,90.000000,top
"C14","1u","C_0603_1608Metric",141.500000,55.750000,90.000000,top
"C15","47u","C_1206_3216Metric",121.000000,55.000000,-90.000000,top
"C16","1u","C_0603_1608Metric",146.250000,61.000000,-90.000000,top
"C17","1u","C_0603_1608Metric",138.250000,61.250000,90.000000,top
"C19","10u","C_0603_1608Metric",159.000000,22.250000,-90.000000,top
"C20","10u","C_0603_1608Metric",139.000000,25.200000,-90.000000,top
"C22","10u","C_0603_1608Metric",156.000000,22.250000,-90.000000,top
"C23","10u","C_0603_1608Metric",142.000000,25.200000,90.000000,top
"C25","10u","C_0603_1608Metric",159.000000,25.250000,90.000000,top
"C26","10u","C_0603_1608Metric",139.000000,21.950000,-90.000000,top
"C27","10u","C_0603_1608Metric",150.510000,21.500000,90.000000,top
"C28","100n","C_0603_1608Metric",157.500000,25.250000,90.000000,top
"C29","100n","C_0603_1608Metric",140.500000,21.950000,-90.000000,top
"C30","100n","C_0603_1608Metric",149.010000,21.500000,90.000000,top
"C31","1n","C_0603_1608Metric",156.000000,25.250000,90.000000,top
"C32","1n","C_0603_1608Metric",142.000000,21.950000,-90.000000,top
"C33","1n","C_0603_1608Metric",147.500000,21.500000,90.000000,top
"C34","10u","C_0603_1608Metric",126.862500,26.475000,180.000000,top
"C35","0.1u","C_0603_1608Metric",126.862500,27.975000,180.000000,top
"C36","0.1u","C_0603_1608Metric",115.837500,22.475000,0.000000,top
"C37","2.2u","C_0603_1608Metric",116.587500,27.725000,90.000000,top
"C38","2.2u","C_0603_1608Metric",115.837500,25.475000,0.000000,top
"C39","10u/25v","C_0805_2012Metric",125.500000,39.000000,90.000000,top
"C40","10u","C_0603_1608Metric",115.837500,23.975000,0.000000,top
"C41","0.1u","C_0603_1608Metric",126.862500,24.975000,180.000000,top
"C42","100n","C_0603_1608Metric",132.750000,38.000000,90.000000,top
"C43","10u","C_0603_1608Metric",126.862500,23.475000,180.000000,top
"C44","1n","C_0603_1608Metric",134.250000,38.000000,90.000000,top
"C45","10u","C_0603_1608Metric",127.980000,32.980000,180.000000,top
"C46","10u","C_0603_1608Metric",129.250000,44.980000,180.000000,top
"C47","10n","C_0603_1608Metric",131.750000,33.750000,-90.000000,top
"C48","10n","C_0603_1608Metric",133.000000,44.250000,90.000000,top
"C49","10u","C_0603_1608Metric",186.250000,23.750000,180.000000,top
"C50","0.1u","C_0603_1608Metric",186.250000,25.250000,180.000000,top
"C51","10u","C_0603_1608Metric",181.750000,20.750000,0.000000,top
"C52","10u","C_0603_1608Metric",186.250000,28.500000,180.000000,top
"C53","0.1u","C_0603_1608Metric",181.750000,22.250000,0.000000,top
"C54","0.1u","C_0603_1608Metric",186.250000,27.000000,180.000000,top
"C55","10u","C_0603_1608Metric",172.500000,40.250000,90.000000,top
"C56","100n","C_0603_1608Metric",164.750000,42.000000,180.000000,top
"C57","1n","C_0603_1608Metric",164.750000,40.500000,180.000000,top
"C58","10u","C_0603_1608Metric",168.250000,49.500000,90.000000,top
"C59","10u","C_0603_1608Metric",171.250000,32.750000,-90.000000,top
"C60","10n","C_0603_1608Metric",172.750000,49.500000,-90.000000,top
"C61","10n","C_0603_1608Metric",168.250000,32.750000,90.000000,top
"C62","10u","C_0603_1608Metric",173.750000,25.750000,180.000000,top
"C63","10u","C_0603_1608Metric",173.750000,24.250000,180.000000,top
"C64","1u","C_0603_1608Metric",168.000000,53.750000,0.000000,top
"C65","10u","C_0603_1608Metric",155.850000,56.050000,-90.000000,top
"C66","100n","C_0603_1608Metric",154.350000,56.050000,-90.000000,top
"C67","1n","C_0603_1608Metric",152.850000,56.050000,-90.000000,top
"C68","10u","C_0603_1608Metric",119.000000,55.750000,-90.000000,top
"C69","100n","C_0603_1608Metric",159.200000,39.900000,180.000000,top
"C70","10u","C_0603_1608Metric",151.450000,49.400000,180.000000,top
"C71","100n","C_0603_1608Metric",156.950000,42.400000,-90.000000,top
"C72","100n","C_0603_1608Metric",161.450000,42.400000,90.000000,top
"C73","10n","C_0603_1608Metric",151.450000,44.750000,0.000000,top
"C74","10u","C_0603_1608Metric",162.300000,49.050000,180.000000,top
"C75","10u","C_0603_1608Metric",153.950000,42.400000,-90.000000,top
"C76","100n","C_0603_1608Metric",150.400000,42.150000,90.000000,top
"C77","1n","C_0603_1608Metric",155.450000,42.400000,-90.000000,top
"C78","1u","C_0603_1608Metric",105.750000,28.750000,180.000000,top
"C79","1u","C_0603_1608Metric",193.000000,51.500000,-90.000000,top
"C80","10p","C_0603_1608Metric",150.200000,60.500000,0.000000,top
"C81","10p","C_0603_1608Metric",150.200000,58.800000,0.000000,top
"C82","10u","C_0603_1608Metric",114.337500,28.475000,0.000000,top
"C83","0.1u","C_0603_1608Metric",114.337500,26.975000,0.000000,top
"C84","47u","C_1206_3216Metric",123.500000,55.000000,-90.000000,top
"D1","D_Schottky","D_SOD-123",127.000000,64.250000,90.000000,top
"FB1","FerriteBead_Small","C_0805_2012Metric",150.300000,56.550000,180.000000,top
"FB2","FerriteBead_Small","C_0805_2012Metric",152.200000,42.150000,-90.000000,top
"IC1","TPS65133DPDR","SON45P300X300X80-13N-D",149.000000,25.000000,0.000000,top
"IC2","TPS54331DR","SOIC127P600X175-8N",131.000000,58.000000,90.000000,top
"IC3","PCM1808PWR","PCM1808PWR",179.750000,26.500000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles",177.500000,63.000000,180.000000,top
"J2","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",154.040000,64.500000,-90.000000,top
"J3","Conn_01x03","Harwin_M20-89003xx_1x03_P2.54mm_Horizontal",134.000000,8.000000,-90.000000,top
"J4","Conn_01x06","PinHeader_2x03_P2.54mm_Vertical",107.725000,52.475000,90.000000,top
"J5","Conn_01x06","PinHeader_2x03_P2.54mm_Vertical",190.290000,54.540000,-90.000000,top
"J6","Conn_01x02","Harwin_M20-89003xx_1x03_P2.54mm_Horizontal",164.000000,8.000000,-90.000000,top
"J8","Conn_01x05","Harwin_M20-89005xx_1x05_P2.54mm_Horizontal",149.000000,8.000000,-90.000000,top
"J9","Conn_01x05","Harwin_M20-89005xx_1x05_P2.54mm_Horizontal",119.000000,8.000000,-90.000000,top
"J10","Conn_01x05","Harwin_M20-89005xx_1x05_P2.54mm_Horizontal",179.000000,8.000000,-90.000000,top
"L1","INDUCTOR","L_Vishay_IHLP-1212",144.000000,31.000000,-90.000000,top
"L2","INDUCTOR","L_Vishay_IHLP-1212",154.000000,31.000000,90.000000,top
"L3","6.8u","L_7.3x7.3_H4.5",121.750000,62.000000,-90.000000,top
"Q1","MMBT4403","SOT-23",153.250000,22.000000,180.000000,top
"Q2","BC849","SOT-23",144.750000,22.000000,0.000000,top
"R1","20R","R_0603_1608Metric",170.000000,58.500000,0.000000,top
"R2","20R","R_0603_1608Metric",170.000000,60.000000,0.000000,top
"R3","4.7k","R_0603_1608Metric",170.000000,61.500000,0.000000,top
"R4","5.1k","R_0603_1608Metric",170.000000,66.000000,0.000000,top
"R6","29.4k","R_0603_1608Metric",133.100000,64.900000,90.000000,top
"R7","2k","R_0603_1608Metric",140.000000,55.750000,-90.000000,top
"R8","0","R_0603_1608Metric",143.000000,55.750000,90.000000,top
"R9","2k","R_0603_1608Metric",144.500000,55.750000,-90.000000,top
"R10","10k","R_0603_1608Metric",134.600000,61.825000,90.000000,top
"R11","3.3k","R_0603_1608Metric",134.600000,64.825000,90.000000,top
"R14","47k","R_0603_1608Metric",157.500000,22.250000,-90.000000,top
"R15","47k","R_0603_1608Metric",140.500000,25.200000,90.000000,top
"R16","0","R_0603_1608Metric",153.750000,24.500000,0.000000,top
